processing_time,total_target_area,total_target_area_length,vert_count,test_type,output_prefix
0.000371933,436.022,131.276,26,naive,1to3-splitter--rotated_outline_mesh0_z900
0.0440102,732.981,634.032,361,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z9100
0.0052619,732.981,634.032,361,naive,1to3-splitter--rotated_outline_mesh0_z9100
0.0288649,749.392,637.362,356,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z9300
0.00523996,749.392,637.362,356,naive,1to3-splitter--rotated_outline_mesh0_z9300
0.030484,771.062,641.396,398,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z9500
0.00537491,771.062,641.396,398,naive,1to3-splitter--rotated_outline_mesh0_z9500
0.0294669,801.28,646.57,386,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z9700
0.00748491,801.28,646.57,386,naive,1to3-splitter--rotated_outline_mesh0_z9700
0.0393591,846.642,653.386,393,InwardDistributed,1to3-splitter--rotated_outline_mesh0_z9900
0.00616312,846.642,653.386,393,naive,1to3-splitter--rotated_outline_mesh0_z9900
0.0218179,496.385,238.839,146,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z100
0.00883198,496.385,238.839,146,naive,ACAM-Base--scaled_outline_mesh0_z100
0.00493002,511.467,175.083,79,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z1100
0.012094,511.467,175.083,79,naive,ACAM-Base--scaled_outline_mesh0_z1100
0.025948,624.584,249.405,184,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z1300
0.0496712,624.584,249.405,184,naive,ACAM-Base--scaled_outline_mesh0_z1300
0.037158,624.433,250.736,272,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z1500
0.0823519,624.433,250.736,272,naive,ACAM-Base--scaled_outline_mesh0_z1500
0.0265441,624.174,250.809,265,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z1700
0.0646889,624.174,250.809,265,naive,ACAM-Base--scaled_outline_mesh0_z1700
0.00611997,234.262,204.327,149,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z1900
0.00427413,234.262,204.327,149,naive,ACAM-Base--scaled_outline_mesh0_z1900
0.015703,234.34,203.801,117,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z2100
0.00127101,234.34,203.801,117,naive,ACAM-Base--scaled_outline_mesh0_z2100
0.00341797,234.358,203.941,119,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z2300
0.00141501,234.358,203.941,119,naive,ACAM-Base--scaled_outline_mesh0_z2300
0.0138161,234.414,204.039,128,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z2500
0.00129986,234.414,204.039,128,naive,ACAM-Base--scaled_outline_mesh0_z2500
0.00592804,234.314,203.782,116,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z2700
0.00137115,234.314,203.782,116,naive,ACAM-Base--scaled_outline_mesh0_z2700
0.003232,150.813,204.426,87,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z2900
0.00104809,150.813,204.426,87,naive,ACAM-Base--scaled_outline_mesh0_z2900
0.00486279,499.26,198.922,52,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z300
0.006428,499.26,198.922,52,naive,ACAM-Base--scaled_outline_mesh0_z300
0.00225997,150.86,204.565,94,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z3100
0.000562906,150.86,204.565,94,naive,ACAM-Base--scaled_outline_mesh0_z3100
0.00228381,143.106,198.538,97,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z3300
0.000788927,143.106,198.538,97,naive,ACAM-Base--scaled_outline_mesh0_z3300
0.00328612,143.02,198.212,91,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z3500
0.000576019,143.02,198.212,91,naive,ACAM-Base--scaled_outline_mesh0_z3500
0.00226188,143.055,197.984,91,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z3700
0.000581026,143.055,197.984,91,naive,ACAM-Base--scaled_outline_mesh0_z3700
0.00165987,138.22,194.88,70,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z3900
0.000603914,138.22,194.88,70,naive,ACAM-Base--scaled_outline_mesh0_z3900
0.00195217,138.282,194.515,48,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z4100
0.000438929,138.282,194.515,48,naive,ACAM-Base--scaled_outline_mesh0_z4100
0.00195217,138.282,194.515,48,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z4300
0.000485897,138.282,194.515,48,naive,ACAM-Base--scaled_outline_mesh0_z4300
0.0018189,138.28,194.494,49,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z4500
0.000408888,138.28,194.494,49,naive,ACAM-Base--scaled_outline_mesh0_z4500
0.00184393,142.178,199.178,49,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z4700
0.000440121,142.178,199.178,49,naive,ACAM-Base--scaled_outline_mesh0_z4700
0.00388217,122.034,160.865,52,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z4900
0.000968933,122.034,160.865,52,naive,ACAM-Base--scaled_outline_mesh0_z4900
0.00679994,496.5,198.919,52,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z500
0.00923085,496.5,198.919,52,naive,ACAM-Base--scaled_outline_mesh0_z500
0.00352883,138.018,184.696,119,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z5100
0.000630856,138.018,184.696,119,naive,ACAM-Base--scaled_outline_mesh0_z5100
0.014945,143.253,184.446,122,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z5300
0.00147486,143.253,184.446,122,naive,ACAM-Base--scaled_outline_mesh0_z5300
0.013541,146.276,184.118,127,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z5500
0.000830173,146.276,184.118,127,naive,ACAM-Base--scaled_outline_mesh0_z5500
0.00950813,159.71,190.972,116,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z5700
0.00151396,159.71,190.972,116,naive,ACAM-Base--scaled_outline_mesh0_z5700
0.00413609,160.801,190.877,117,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z5900
0.001019,160.801,190.877,117,naive,ACAM-Base--scaled_outline_mesh0_z5900
0.00374699,160.843,190.867,115,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z6100
0.00110507,160.843,190.867,115,naive,ACAM-Base--scaled_outline_mesh0_z6100
0.010062,160.891,190.855,116,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z6300
0.00326109,160.891,190.855,116,naive,ACAM-Base--scaled_outline_mesh0_z6300
0.00903201,160.766,190.865,107,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z6500
0.00297093,160.766,190.865,107,naive,ACAM-Base--scaled_outline_mesh0_z6500
0.00069499,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z6700
0.000117064,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z6700
0.000715017,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z6900
0.000140905,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z6900
0.00465417,493.675,198.918,52,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z700
0.00985193,493.675,198.918,52,naive,ACAM-Base--scaled_outline_mesh0_z700
0.000718832,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z7100
0.00012207,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z7100
0.000643015,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z7300
0.000118017,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z7300
0.00117016,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z7500
0.000126123,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z7500
0.000441074,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z7700
9.799E-05,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z7700
0.000454187,48.827,155.35,20,InwardDistributed,ACAM-Base--scaled_outline_mesh0_z7900
9.60827E-05,48.827,155.35,20,naive,ACAM-Base--scaled_outline_mesh0_z7900
